"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0002181"	1.31047159303325e-38	40.3026845637584	49.6795811518325	111	116	"cytoplasmic translation"
"2"	"GO:0010467"	1.26794225208931e-33	19.1633407243163	52.9254807692308	112	123	"gene expression"
"3"	"GO:0034645"	1.55041090268111e-26	10.2421487603306	54.0410132689988	108	128	"cellular macromolecule biosynthetic process"
"4"	"GO:0044267"	3.93494409452918e-19	4.99834710743802	74.4710059171598	126	171	"cellular protein metabolic process"
"5"	"GO:0034660"	5.55933923855432e-16	65.7790368271955	18.5955176093917	43	44	"ncRNA metabolic process"
"6"	"GO:0044085"	1.31086503534152e-14	18.4108280254777	21.4830805134189	47	51	"cellular component biogenesis"
"7"	"GO:0006364"	4.5813541766899e-11	44.9175824175824	12.9936170212766	30	31	"rRNA processing"
"8"	"GO:0042274"	6.35043560162178e-10	Inf	10.1039236479321	24	24	"ribosomal small subunit biogenesis"
"9"	"GO:0070925"	6.32078144853318e-09	35.4817708333333	11.1350785340314	25	26	"organelle assembly"
"10"	"GO:0000462"	1.10115765635472e-08	Inf	8.90506329113924	21	21	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"11"	"GO:0044238"	7.37782591395163e-07	2.47619047619048	77.3778625954198	104	194	"primary metabolic process"
"12"	"GO:0006414"	2.76603857204935e-06	13.9845758354756	9.42198952879581	20	22	"translational elongation"
"13"	"GO:0006139"	5.56817192968974e-06	2.85223367697595	38.2887767969735	58	87	"nucleobase-containing compound metabolic process"
"14"	"GO:0006407"	6.13690845349494e-06	Inf	5.99581151832461	14	14	"rRNA export from nucleus"
"15"	"GO:0000027"	3.46758046503466e-05	Inf	5.13926701570681	12	12	"ribosomal large subunit assembly"
"16"	"GO:0051169"	7.44756962021732e-05	4.8	13.2764397905759	24	31	"nuclear transport"
"17"	"GO:0000028"	8.09667321297823e-05	Inf	4.70440251572327	11	11	"ribosomal small subunit assembly"
"18"	"GO:0016482"	0.000291743388993469	4.05608108108108	13.1993499458288	23	31	"cytoplasmic transport"
"19"	"GO:0050657"	0.00036471095167422	5.87627551020408	8.99371727748691	17	21	"nucleic acid transport"
"20"	"GO:0051236"	0.00036471095167422	5.87627551020408	8.99371727748691	17	21	"establishment of RNA localization"
