"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"118"	TRUE	"f"	NA	0	"GSM239504"
"119"	TRUE	"l"	"GSM239504"	3120	"GSM239501"
"120"	TRUE	"f"	NA	0	"GSM239505"
"121"	TRUE	"m"	"GSM239505"	1320	"GSM239499"
"122"	TRUE	"l"	"GSM239499"	1800	"GSM239502"
"123"	TRUE	"f"	NA	0	"GSM239506"
"124"	TRUE	"m"	"GSM239506"	1320	"GSM239500"
"125"	TRUE	"l"	"GSM239500"	1800	"GSM239503"
"126"	FALSE	"e"	NA	0	"GSM239507"
"135"	TRUE	"f"	NA	0	"GSM257776"
"136"	TRUE	"m"	"GSM257776"	1320	"GSM257779"
"137"	TRUE	"m"	"GSM257779"	1800	"GSM257781"
"138"	TRUE	"m"	"GSM257781"	1200	"GSM257784"
"139"	TRUE	"l"	"GSM257784"	1320	"GSM257787"
"140"	TRUE	"f"	NA	0	"GSM257777"
"141"	TRUE	"m"	"GSM257777"	1320	"GSM257780"
"142"	TRUE	"m"	"GSM257780"	1800	"GSM257782"
"143"	TRUE	"m"	"GSM257782"	1200	"GSM257785"
"144"	TRUE	"l"	"GSM257785"	1320	"GSM257788"
"145"	TRUE	"f"	NA	0	"GSM257778"
"146"	TRUE	"m"	"GSM257778"	3120	"GSM257783"
"147"	TRUE	"m"	"GSM257783"	1200	"GSM257786"
"148"	TRUE	"l"	"GSM257786"	1320	"GSM257789"
"177"	TRUE	"f"	NA	0	"GSM307247"
"178"	TRUE	"l"	"GSM307247"	10	"GSM307248"
"195"	TRUE	"f"	NA	0	"GSM356519"
"196"	TRUE	"m"	"GSM356519"	720	"GSM356520"
"197"	TRUE	"m"	"GSM356520"	720	"GSM356521"
"198"	TRUE	"m"	"GSM356521"	720	"GSM356522"
"199"	TRUE	"m"	"GSM356522"	720	"GSM356523"
"200"	TRUE	"m"	"GSM356523"	720	"GSM356524"
"201"	TRUE	"m"	"GSM356524"	720	"GSM356525"
"202"	TRUE	"m"	"GSM356525"	720	"GSM356526"
"203"	TRUE	"l"	"GSM356526"	720	"GSM356527"
"205"	TRUE	"f"	NA	0	"GSM356529"
"206"	TRUE	"m"	"GSM356529"	720	"GSM356530"
"207"	TRUE	"m"	"GSM356530"	720	"GSM356531"
"208"	TRUE	"m"	"GSM356531"	720	"GSM356532"
"209"	TRUE	"m"	"GSM356532"	720	"GSM356533"
"210"	TRUE	"m"	"GSM356533"	720	"GSM356534"
"211"	TRUE	"m"	"GSM356534"	720	"GSM356535"
"212"	TRUE	"l"	"GSM356535"	720	"GSM356536"
"219"	TRUE	"f"	NA	0	"GSM385485"
"220"	TRUE	"l"	"GSM385485"	960	"GSM385486"
"228"	FALSE	"e"	NA	0	"GSM385494"
"306"	FALSE	"e"	NA	0	"GSM434018"
"407"	FALSE	"e"	NA	0	"GSM614242"
"417"	FALSE	"e"	NA	0	"GSM630783"
"424"	FALSE	"e"	NA	0	"GSM673321"
"432"	TRUE	"f"	NA	0	"GSM673332"
"433"	TRUE	"m"	"GSM673332"	20	"GSM673335"
"434"	TRUE	"l"	"GSM673335"	20	"GSM673338"
"436"	TRUE	"f"	NA	0	"GSM673333"
"437"	TRUE	"m"	"GSM673333"	20	"GSM673336"
"438"	TRUE	"l"	"GSM673336"	20	"GSM673339"
"440"	TRUE	"f"	NA	0	"GSM673334"
"441"	TRUE	"m"	"GSM673334"	20	"GSM673337"
"442"	TRUE	"l"	"GSM673337"	20	"GSM673340"
"444"	TRUE	"f"	NA	0	"GSM673344"
"445"	TRUE	"m"	"GSM673344"	20	"GSM673347"
"446"	TRUE	"l"	"GSM673347"	20	"GSM673350"
"448"	TRUE	"f"	NA	0	"GSM673345"
"449"	TRUE	"m"	"GSM673345"	20	"GSM673348"
"450"	TRUE	"l"	"GSM673348"	20	"GSM673351"
"452"	TRUE	"f"	NA	0	"GSM673346"
"453"	TRUE	"m"	"GSM673346"	20	"GSM673349"
"454"	TRUE	"l"	"GSM673349"	20	"GSM673352"
"480"	FALSE	"e"	NA	0	"GSM826842"
"482"	FALSE	"e"	NA	0	"GSM826843"
"484"	FALSE	"e"	NA	0	"GSM826844"
"486"	TRUE	"f"	NA	0	"GSM842094"
"487"	TRUE	"l"	"GSM842094"	1440	"GSM842096"
"489"	TRUE	"f"	NA	0	"GSM842095"
"490"	TRUE	"l"	"GSM842095"	1440	"GSM842097"
"492"	TRUE	"f"	NA	0	"GSM842101"
"493"	TRUE	"l"	"GSM842101"	1440	"GSM842103"
"494"	TRUE	"f"	NA	0	"GSM842100"
"495"	TRUE	"m"	"GSM842100"	1440	"GSM842102"
"496"	TRUE	"l"	"GSM842102"	1440	"GSM842104"
"545"	FALSE	"e"	NA	0	"GSM1374197"
"695"	FALSE	"e"	NA	0	"GSM564451"
"709"	FALSE	"e"	NA	0	"GSM564465"
"716"	FALSE	"e"	NA	0	"GSM564472"
"757"	FALSE	"e"	NA	0	"GSM661275"
"764"	FALSE	"e"	NA	0	"GSM661282"
"891"	FALSE	"e"	NA	0	"GSM816749"
"906"	FALSE	"e"	NA	0	"GSM816764"
"924"	FALSE	"e"	NA	0	"GSM816782"
"969"	TRUE	"f"	NA	0	"GSM1227260"
"973"	TRUE	"m"	"GSM1227260"	2880	"GSM1227272"
"975"	TRUE	"m"	"GSM1227272"	2880	"GSM1227278"
"976"	TRUE	"l"	"GSM1227278"	1440	"GSM1227281"
"977"	TRUE	"f"	NA	0	"GSM1227261"
"981"	TRUE	"m"	"GSM1227261"	2880	"GSM1227273"
"983"	TRUE	"m"	"GSM1227273"	2880	"GSM1227279"
"984"	TRUE	"l"	"GSM1227279"	1440	"GSM1227282"
"985"	TRUE	"f"	NA	0	"GSM1227262"
"989"	TRUE	"m"	"GSM1227262"	2880	"GSM1227274"
"991"	TRUE	"m"	"GSM1227274"	2880	"GSM1227280"
"992"	TRUE	"l"	"GSM1227280"	1440	"GSM1227283"
"1029"	FALSE	"e"	NA	0	"GSM1338363"
"1033"	FALSE	"e"	NA	0	"GSM1338364"
"1037"	FALSE	"e"	NA	0	"GSM1338365"
"1136"	FALSE	"e"	NA	0	"GSM1155276"
"1137"	FALSE	"e"	NA	0	"GSM1155277"
"1138"	FALSE	"e"	NA	0	"GSM1155278"
"1139"	FALSE	"e"	NA	0	"GSM1155279"
"1140"	FALSE	"e"	NA	0	"GSM1155280"
"1141"	FALSE	"e"	NA	0	"GSM1155281"
"1142"	FALSE	"e"	NA	0	"GSM1155282"
"1143"	FALSE	"e"	NA	0	"GSM1155283"
"1144"	FALSE	"e"	NA	0	"GSM1155284"
"1145"	FALSE	"e"	NA	0	"GSM1155285"
"1146"	FALSE	"e"	NA	0	"GSM1155286"
"1147"	FALSE	"e"	NA	0	"GSM1155287"
"1161"	FALSE	"e"	NA	0	"GSM1155301"
"1163"	FALSE	"e"	NA	0	"GSM1155303"
"1179"	FALSE	"e"	NA	0	"GSM1155319"
"1202"	FALSE	"e"	NA	0	"GSM1215196"
"1203"	FALSE	"e"	NA	0	"GSM1215197"
"1204"	FALSE	"e"	NA	0	"GSM1215198"
"1205"	FALSE	"e"	NA	0	"GSM1215199"
"1206"	FALSE	"e"	NA	0	"GSM1215200"
"1207"	FALSE	"e"	NA	0	"GSM1215201"
"1304"	FALSE	"e"	NA	0	"GSM1329158"
"1306"	FALSE	"e"	NA	0	"GSM1329160"
"1307"	FALSE	"e"	NA	0	"GSM1346243"
"1308"	FALSE	"e"	NA	0	"GSM1346244"
"1309"	FALSE	"e"	NA	0	"GSM1346245"
"1310"	FALSE	"e"	NA	0	"GSM1346246"
"1311"	FALSE	"e"	NA	0	"GSM1346247"
"1312"	FALSE	"e"	NA	0	"GSM1346248"
"1401"	FALSE	"e"	NA	0	"GSM1502685"
"1402"	FALSE	"e"	NA	0	"GSM1502686"
"1403"	FALSE	"e"	NA	0	"GSM1502687"
"1404"	FALSE	"e"	NA	0	"GSM1502688"
