"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"1"	TRUE	"f"	NA	0	"GSM206780"
"2"	TRUE	"m"	"GSM206780"	90	"GSM206777"
"3"	TRUE	"l"	"GSM206777"	270	"GSM206779"
"4"	TRUE	"f"	NA	0	"GSM206786"
"5"	TRUE	"m"	"GSM206786"	90	"GSM206783"
"6"	TRUE	"l"	"GSM206783"	270	"GSM206785"
"7"	TRUE	"f"	NA	0	"GSM206792"
"8"	TRUE	"m"	"GSM206792"	90	"GSM206789"
"9"	TRUE	"l"	"GSM206789"	270	"GSM206791"
"10"	TRUE	"f"	NA	0	"GSM218597"
"11"	TRUE	"m"	"GSM218597"	16	"GSM218598"
"12"	TRUE	"m"	"GSM218598"	16	"GSM218599"
"13"	TRUE	"m"	"GSM218599"	16	"GSM218600"
"14"	TRUE	"m"	"GSM218600"	16	"GSM218601"
"15"	TRUE	"m"	"GSM218601"	16	"GSM218602"
"16"	TRUE	"m"	"GSM218602"	16	"GSM218603"
"17"	TRUE	"m"	"GSM218603"	16	"GSM218604"
"18"	TRUE	"m"	"GSM218604"	16	"GSM218605"
"19"	TRUE	"m"	"GSM218605"	16	"GSM218606"
"20"	TRUE	"m"	"GSM218606"	16	"GSM218607"
"21"	TRUE	"m"	"GSM218607"	16	"GSM218608"
"22"	TRUE	"m"	"GSM218608"	16	"GSM218609"
"23"	TRUE	"m"	"GSM218609"	16	"GSM218610"
"24"	TRUE	"l"	"GSM218610"	16	"GSM218611"
"25"	TRUE	"f"	NA	0	"GSM218612"
"26"	TRUE	"m"	"GSM218612"	16	"GSM218613"
"27"	TRUE	"m"	"GSM218613"	16	"GSM218614"
"28"	TRUE	"m"	"GSM218614"	16	"GSM218615"
"29"	TRUE	"m"	"GSM218615"	16	"GSM218616"
"30"	TRUE	"m"	"GSM218616"	16	"GSM218617"
"31"	TRUE	"m"	"GSM218617"	16	"GSM218618"
"32"	TRUE	"m"	"GSM218618"	16	"GSM218619"
"33"	TRUE	"m"	"GSM218619"	16	"GSM218620"
"34"	TRUE	"m"	"GSM218620"	16	"GSM218621"
"35"	TRUE	"m"	"GSM218621"	16	"GSM218622"
"36"	TRUE	"m"	"GSM218622"	16	"GSM218623"
"37"	TRUE	"m"	"GSM218623"	16	"GSM218624"
"38"	TRUE	"m"	"GSM218624"	16	"GSM218625"
"39"	TRUE	"l"	"GSM218625"	16	"GSM218626"
"40"	TRUE	"f"	NA	0	"GSM218627"
"41"	TRUE	"m"	"GSM218627"	16	"GSM218628"
"42"	TRUE	"m"	"GSM218628"	16	"GSM218629"
"43"	TRUE	"m"	"GSM218629"	16	"GSM218630"
"44"	TRUE	"m"	"GSM218630"	16	"GSM218631"
"45"	TRUE	"m"	"GSM218631"	16	"GSM218632"
"46"	TRUE	"m"	"GSM218632"	16	"GSM218633"
"47"	TRUE	"m"	"GSM218633"	16	"GSM218634"
"48"	TRUE	"m"	"GSM218634"	16	"GSM218635"
"49"	TRUE	"m"	"GSM218635"	16	"GSM218636"
"50"	TRUE	"m"	"GSM218636"	16	"GSM218637"
"51"	TRUE	"m"	"GSM218637"	16	"GSM218638"
"52"	TRUE	"m"	"GSM218638"	16	"GSM218639"
"53"	TRUE	"m"	"GSM218639"	16	"GSM218640"
"54"	TRUE	"l"	"GSM218640"	16	"GSM218641"
"55"	TRUE	"f"	NA	0	"GSM218642"
"56"	TRUE	"m"	"GSM218642"	16	"GSM218643"
"57"	TRUE	"m"	"GSM218643"	16	"GSM218644"
"58"	TRUE	"m"	"GSM218644"	16	"GSM218645"
"59"	TRUE	"m"	"GSM218645"	16	"GSM218646"
"60"	TRUE	"m"	"GSM218646"	16	"GSM218647"
